,Hazard,Causes,Adaptation,Mitigation,Impacts,Invalid
2025-10-16,0.0,0.0,0.0,0.9,0.0,0.0
2025-10-20,1.8,0.0,0.0,0.0,0.0,0.0
2025-10-21,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-22,0.0,0.0,0.0,0.0,0.0,0.9
2025-10-23,3.6,0.0,0.0,0.9,0.0,0.0
2025-10-24,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-27,1.8,0.0,0.0,0.0,0.0,0.0
2025-10-28,0.9,0.0,0.0,0.9,0.0,0.0
2025-10-29,0.9,0.0,0.0,0.0,0.0,0.0
2025-10-31,0.9,0.0,0.0,0.0,0.0,0.0
2025-11-02,3.6,0.0,0.0,0.0,0.0,0.0
2025-11-03,0.9,0.0,0.0,0.9,0.0,0.0
2025-11-05,0.9,0.0,0.0,0.0,0.0,0.0
2025-11-06,0.9,0.0,0.0,0.0,0.0,0.0
2025-11-07,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-08,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-12,0.6,0.0,0.0,0.0,0.0,0.0
2025-11-13,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-14,0.9,0.0,0.0,0.0,0.0,0.0
2025-11-15,1.8,0.0,0.0,0.0,0.0,0.0
2025-11-17,1.8,0.0,0.0,0.9,0.0,0.0
2025-11-21,0.8,0.0,0.0,0.0,0.0,0.0
2025-11-24,15.300000000000004,0.0,0.0,0.0,0.0,0.0
2025-11-25,9.000000000000002,0.0,0.0,0.0,0.0,0.7
2025-11-26,3.6,0.0,0.0,0.0,0.0,0.0
2025-11-28,0.9,0.0,0.0,0.0,0.0,0.0
2025-11-29,0.0,0.0,0.9,0.0,0.0,0.0
2025-11-30,0.8,0.0,0.9,0.0,0.0,0.0
2025-12-03,1.8,0.0,0.0,0.0,0.0,0.0
2025-12-08,0.9,0.0,0.0,0.0,0.0,0.0
2025-12-10,0.9,0.0,0.0,0.0,0.0,0.0
2025-12-12,0.9,0.0,0.0,0.0,0.0,0.0
2025-12-18,0.0,0.0,0.0,0.0,0.0,0.9
2025-12-19,0.0,0.0,0.0,0.9,0.0,0.0
2025-12-26,0.0,0.9,0.0,0.0,0.0,0.0
2025-12-29,0.9,0.0,0.0,0.0,0.0,0.0
2025-12-30,3.4000000000000004,0.0,0.0,0.0,0.0,0.0
2025-12-31,0.8,0.0,0.0,0.0,0.0,0.0
2026-01-01,0.9,0.0,0.0,0.0,0.0,0.0
2026-01-02,2.7,0.0,0.0,1.8,0.0,0.0
2026-01-03,4.5,0.0,0.0,0.0,0.0,0.0
2026-01-06,0.9,0.0,0.0,0.0,0.0,0.0
2026-01-07,0.0,0.0,0.0,0.0,0.0,0.7
2026-01-09,0.9,0.0,0.0,0.0,0.0,0.0
2026-01-13,0.9,0.0,0.0,0.0,0.0,0.0
2026-01-15,0.8,0.8,0.0,0.0,0.0,0.0
2026-01-16,0.9,0.0,0.0,0.0,0.0,0.0
2026-01-20,1.7000000000000002,0.0,0.0,0.0,0.0,0.0
2026-01-26,0.0,0.0,0.0,0.9,0.0,0.0
2026-01-30,0.8,0.0,0.0,0.0,0.0,0.0
2026-01-31,0.8,0.0,0.0,0.0,0.0,0.0
2026-02-01,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-02,0.8,0.0,0.0,0.0,0.0,0.0
2026-02-06,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-15,3.6,0.0,0.0,0.0,0.0,0.0
2026-02-16,1.8,0.0,0.0,0.0,0.0,0.0
2026-02-18,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-19,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-20,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-21,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-22,4.2,0.0,0.0,0.0,0.0,0.0
2026-02-23,0.9,0.0,0.0,0.0,0.0,0.0
2026-02-24,1.7000000000000002,0.0,0.0,0.0,0.0,0.0
2026-02-25,0.8,0.0,0.0,0.0,0.0,0.0
2026-02-27,0.8,0.0,0.0,0.0,0.0,0.0
2026-03-04,1.8,0.0,0.0,0.0,0.0,0.0
2026-03-05,0.8,0.0,0.0,0.0,0.0,0.0
2026-03-06,0.9,0.0,0.0,0.0,0.0,0.0
2026-03-08,4.3,0.0,0.0,0.0,0.0,0.0
2026-03-09,2.6,0.0,0.0,0.0,0.0,0.0
2026-03-10,6.300000000000001,0.0,0.0,0.9,0.9,0.0
2026-03-11,3.6,0.0,0.0,0.0,0.9,0.0
2026-03-12,0.9,0.0,0.0,0.0,0.0,0.0
2026-03-14,0.8,0.0,0.0,0.0,0.0,0.0
2026-03-16,3.5,0.0,0.0,0.0,0.0,0.0
2026-03-19,0.8,0.0,0.0,0.0,0.0,0.0
2026-03-23,0.9,0.0,0.0,0.0,0.0,0.0
2026-03-25,2.7,0.0,0.0,0.0,0.0,0.0
2026-03-26,0.9,0.0,0.0,0.0,0.0,0.0
2026-03-27,0.8,0.0,0.0,0.0,0.0,0.0
2026-03-28,0.9,0.0,0.0,0.0,0.0,0.0
2026-03-30,3.5,0.0,0.0,0.0,0.0,0.0
2026-03-31,6.000000000000001,0.0,0.0,0.0,0.0,0.0
2026-04-03,0.9,0.0,0.0,0.9,0.0,0.0
2026-04-04,1.8,0.0,0.0,0.0,0.0,0.0
2026-04-05,0.8,0.0,0.0,0.0,0.0,0.0
2026-04-08,0.0,0.0,0.0,0.0,0.8,0.0
2026-04-09,0.9,0.0,0.0,0.9,0.0,0.0
2026-04-12,0.9,0.0,0.0,0.0,0.0,0.0
2026-04-13,10.9,0.0,0.0,0.0,0.9,0.0
2026-04-16,6.1000000000000005,0.0,0.0,0.0,0.0,0.0
2026-04-17,3.6,0.0,0.0,0.0,0.0,0.0
